order_id,region,category,product,quantity,sales_inr,profit_inr,order_value_inr
ORD2024,Kolkata,Fever,Dolo 650,2,162,32.4,162
ORD1377,Hyderabad,Cardiac,Ecosprin,5,170,34.0,170
ORD1717,Kolkata,Antibiotic,Azithral 500,6,366,73.2,366
ORD1859,Delhi,Calcium,Shelcal,6,1062,212.4,1062
ORD2660,Chennai,Calcium,Shelcal,2,222,44.4,222
ORD1090,Kolkata,Antibiotic,Azithral 500,9,441,88.2,441
ORD1861,Chennai,Fever,Dolo 650,6,846,169.2,846
ORD1059,Bengaluru,Allergy,Cetirizine,4,172,34.4,172
ORD1348,Mumbai,Cholesterol,Atorva,10,790,158.0,790
ORD2979,Bengaluru,Cholesterol,Atorva,10,1250,249.99999999999997,1250
ORD2669,Chennai,Acidity,Pan 40,3,138,27.6,138
ORD1157,Chennai,Diabetes,Metformin,4,624,124.80000000000001,624
ORD2112,Jaipur,Acidity,Pan 40,4,584,116.8,584
ORD1992,Jaipur,Diabetes,Metformin,1,174,34.8,174
ORD1641,Bengaluru,Antibiotic,Azithral 500,5,740,148.0,740
ORD2670,Bengaluru,Cardiac,Ecosprin,9,846,169.2,846
ORD1772,Mumbai,Acidity,Pan 40,8,552,110.4,552
ORD2590,Chennai,Calcium,Shelcal,10,530,106.0,530
ORD2968,Delhi,Cardiac,Ecosprin,9,1098,219.6,1098
ORD3031,Mumbai,Cardiac,Ecosprin,7,350,70.0,350
ORD2650,Delhi,Cholesterol,Atorva,6,642,128.4,642
ORD2951,Bengaluru,Allergy,Cetirizine,3,276,55.2,276
ORD1442,Kolkata,Cardiac,Ecosprin,9,1683,336.6,1683
ORD1658,Ahmedabad,Allergy,Cetirizine,4,324,64.8,324
ORD3063,Chennai,Acidity,Pan 40,8,720,144.0,720
ORD2513,Hyderabad,Allergy,Cetirizine,6,894,178.8,894
ORD2681,Bengaluru,Diabetes,Metformin,10,200,40.0,200
ORD1914,Hyderabad,Fever,Dolo 650,6,576,115.2,576
ORD1269,Delhi,Cholesterol,Atorva,4,544,108.8,544
ORD2549,Mumbai,Fever,Dolo 650,7,889,177.8,889
ORD1926,Jaipur,Acidity,Pan 40,1,62,12.4,62
ORD2790,Bengaluru,Cholesterol,Atorva,6,630,126.0,630
ORD1902,Delhi,Cholesterol,Atorva,7,1008,201.6,1008
ORD2333,Bengaluru,Cholesterol,Atorva,8,1520,304.0,1520
ORD1553,Chennai,Acidity,Pan 40,10,1220,244.0,1220
ORD1777,Delhi,Diabetes,Metformin,10,1540,308.0,1540
ORD1112,Kolkata,Fever,Dolo 650,4,672,134.4,672
ORD3091,Bengaluru,Acidity,Pan 40,5,590,118.0,590
ORD2182,Kolkata,Cardiac,Ecosprin,10,850,170.0,850
ORD3093,Ahmedabad,Calcium,Shelcal,8,504,100.8,504
ORD2068,Mumbai,Antibiotic,Azithral 500,6,1044,208.8,1044
ORD1821,Bengaluru,Fever,Dolo 650,5,705,141.0,705
ORD2281,Chennai,Acidity,Pan 40,8,1552,310.4,1552
ORD2384,Mumbai,Acidity,Pan 40,5,940,188.0,940
ORD1700,Ahmedabad,Cardiac,Ecosprin,2,292,58.4,292
ORD2560,Jaipur,Antibiotic,Azithral 500,5,300,60.0,300
ORD2752,Chennai,Acidity,Pan 40,3,414,82.8,414
ORD1525,Chennai,Calcium,Shelcal,7,602,120.4,602
ORD2095,Mumbai,Cholesterol,Atorva,9,360,72.0,360
ORD2884,Ahmedabad,Diabetes,Metformin,2,380,76.0,380
ORD1468,Mumbai,Allergy,Cetirizine,3,399,79.8,399
ORD1477,Bengaluru,Cholesterol,Atorva,2,394,78.8,394
ORD2735,Ahmedabad,Fever,Dolo 650,7,1085,217.0,1085
ORD2988,Chennai,Calcium,Shelcal,9,279,55.8,279
ORD1905,Chennai,Fever,Dolo 650,1,128,25.6,128
ORD2408,Hyderabad,Allergy,Cetirizine,9,747,149.4,747
ORD2412,Hyderabad,Allergy,Cetirizine,6,534,106.8,534
ORD1991,Mumbai,Fever,Dolo 650,1,97,19.4,97
ORD1681,Chennai,Calcium,Shelcal,8,1552,310.4,1552
ORD3045,Bengaluru,Fever,Dolo 650,5,545,109.0,545
ORD2762,Chennai,Allergy,Cetirizine,5,800,160.0,800
ORD2475,Hyderabad,Antibiotic,Azithral 500,7,168,33.6,168
ORD2377,Mumbai,Diabetes,Metformin,10,1610,322.0,1610
ORD1179,Kolkata,Cholesterol,Atorva,10,810,162.0,810
ORD1458,Hyderabad,Acidity,Pan 40,10,1630,326.0,1630
ORD2619,Ahmedabad,Calcium,Shelcal,6,276,55.2,276
ORD3083,Bengaluru,Fever,Dolo 650,2,184,36.8,184
ORD2449,Kolkata,Cholesterol,Atorva,7,308,61.6,308
ORD2770,Ahmedabad,Diabetes,Metformin,4,580,116.0,580
ORD1942,Jaipur,Diabetes,Metformin,6,1140,228.0,1140
ORD2379,Bengaluru,Acidity,Pan 40,8,240,48.0,240
ORD2149,Hyderabad,Antibiotic,Azithral 500,4,716,143.2,716
ORD1031,Chennai,Acidity,Pan 40,2,54,10.8,54
ORD1596,Delhi,Calcium,Shelcal,1,140,28.0,140
ORD1074,Kolkata,Cardiac,Ecosprin,1,66,13.2,66
ORD1836,Mumbai,Calcium,Shelcal,7,994,198.8,994
ORD3030,Delhi,Antibiotic,Azithral 500,5,915,183.0,915
ORD1537,Kolkata,Calcium,Shelcal,3,324,64.8,324
ORD3088,Mumbai,Antibiotic,Azithral 500,2,52,10.4,52
ORD2362,Bengaluru,Cardiac,Ecosprin,5,400,80.0,400
ORD2504,Mumbai,Acidity,Pan 40,8,240,48.0,240
ORD2553,Chennai,Diabetes,Metformin,6,900,180.0,900
