order_id,region,order_date,amount,delivery_status
ORD1000,Vijayawada,2026-08-12,3550,Delivered
ORD1001,banglore,2026-08-07,4242,Delivered
ORD1002,Vizag,2026-07-24,2984,Delivered
ORD1003,Hyderabad,2026-08-21,4893,Delayed
ORD1004,Vizag,2026-06-05,2985,Delayed
ORD1005,Bengaluru,2026-07-12,4236,Delivered
ORD1006,Vizag,2026-06-02,1216,Cancelled
ORD1007,HYD,2026-06-25,236,Cancelled
ORD1008,Bengaluru,2026-06-19,2582,Delivered
ORD1009,hyd,2026-07-09,1616,Cancelled
ORD1010,Vizag,2026-07-20,3757,Cancelled
ORD1011,hyd,2026-07-13,4406,Cancelled
ORD1012,Hyderabad,2026-07-24,4274,Delivered
ORD1013,banglore,2026-08-17,3081,Cancelled
ORD1014,Vijayawada,2026-07-17,1821,Delayed
ORD1015,Hyderabad,2026-08-02,2607,Delayed
ORD1016,Vijayawada,2026-07-16,422,Cancelled
ORD1017,Vijayawada,2026-07-12,2097,Delayed
ORD1018,Bengaluru,2026-08-25,1024,Delivered
ORD1019,Vizag,2026-06-01,4592,Delayed
ORD1020,banglore,2026-07-17,3725,Delayed
ORD1021,Vizag,2026-06-03,3979,Delayed
ORD1022,Vizag,2026-08-12,1957,Delivered
ORD1023,Vizag,2026-07-04,1820,Cancelled
ORD1024,Vijayawada,2026-08-28,468,Delayed
ORD1025,banglore,2026-07-18,654,Delivered
ORD1026,banglore,2026-07-27,4068,Delivered
ORD1027,Vizag,2026-07-24,3924,Cancelled
ORD1028,Vijayawada,2026-08-05,259,Delivered
ORD1029,banglore,2026-07-01,621,Cancelled
ORD1030,Bengaluru,2026-07-27,3534,Delivered
ORD1031,Bengaluru,2026-07-20,2661,Cancelled
ORD1032,Vizag,2026-08-09,2016,Delayed
ORD1033,banglore,2026-06-27,1539,Delivered
ORD1034,banglore,2026-08-30,4485,Delivered
ORD1035,Vizag,2026-08-25,3873,Cancelled
ORD1036,HYD,2026-06-19,4072,Delivered
ORD1037,Vizag,2026-06-22,1424,Delayed
ORD1038,Bengaluru,2026-08-19,776,Cancelled
ORD1039,hyd,2026-06-14,238,Cancelled
ORD1040,HYD,2026-06-22,3677,Cancelled
ORD1041,Vijayawada,2026-06-09,884,Delayed
ORD1042,banglore,2026-06-03,2442,Delayed
ORD1043,Vijayawada,2026-07-29,2649,Delivered
ORD1044,Hyderabad,2026-07-01,1913,Cancelled
ORD1045,Hyderabad,2026-08-12,689,Delivered
ORD1046,HYD,2026-07-15,2472,Cancelled
ORD1047,Vizag,2026-08-03,4189,Delayed
ORD1048,Vijayawada,2026-06-17,337,Cancelled
ORD1049,banglore,2026-07-05,1286,Delayed
