order_id,region,category,product,quantity,sales_inr,profit_inr,order_value_inr
ORD2024,Kolkata,Fever,Dolo 650,2,162,32.40,162
ORD1377,Hyderabad,Cardiac,Ecosprin,5,170,34.00,170
ORD1717,kol,Antibiotic,Azithral 500,6,366,73.20,366
ORD1859,del,Calcium,Shelcal,6,1062,212.40,1062
ORD2660,Madras,Calcium,Shelcal,2,222,44.40,222
ORD1090,kol,Antibiotic,Azithral 500,9,441,88.20,441
ORD1861,Madras,Fever,Dolo 650,6,846,169.20,846
ORD1059,blr,Allergy,Cetirizine,4,172,34.40,172
ORD1348,mum,Cholesterol,Atorva,10,790,158.00,790
ORD2979,blr,Cholesterol,Atorva,10,1250,,1250
ORD2669,Madras,Acidity,Pan 40,3,138,,138
ORD1157,Madras,Diabetes,Metformin,4,624,,624
ORD2112,Jaipur,,Pan 40,4,584,116.80,584
ORD1992,Jaipur,Diabetes,Metformin,1,174,34.80,174
ORD1642,Bengaluru,Fever,Dolo 650,10,610,122.00,610
ORD1641,Bengaluru,Antibiotic,Azithral 500,5,740,148.00,740
ORD2670,Bengaluru,Cardiac,Ecosprin,9,846,169.20,846
ORD1772,mum,Acidity,Pan 40,8,552,110.40,552
ORD2590,chennai,Calcium,Shelcal,10,530,106.00,530
ORD2968,del,Cardiac,Ecosprin,9,1098,219.60,1098
ORD3031,Mumbai,Cardiac,Ecosprin,7,350,70.00,350
ORD2650,Delhi,Cholesterol,Atorva,6,642,128.40,642
ORD2792,Jaipur,Diabetes,Metformin,3,177,35.40,177
ORD2951,blr,Allergy,Cetirizine,3,276,55.20,276
ORD1442,kol,Cardiac,Ecosprin,9,1683,336.60,1683
ORD1658,Ahmedabad,Allergy,Cetirizine,4,324,64.80,324
ORD3063,chennai,Acidity,Pan 40,8,720,144.00,720
ORD2513,Hyderabad,Allergy,Cetirizine,6,894,178.80,894
ORD2681,blr,Diabetes,Metformin,10,200,40.00,200
ORD1914,hyd,Fever,Dolo 650,6,576,115.20,576
ORD1269,Delhi,Cholesterol,Atorva,4,544,108.80,544
ORD2549,Mumbai,Fever,Dolo 650,7,889,177.80,889
ORD1926,Jaipur,Acidity,Pan 40,1,62,12.40,62
ORD2790,bng,Cholesterol,Atorva,6,630,126.00,630
ORD1902,Delhi,Cholesterol,Atorva,7,1008,,1008
ORD2333,Bengaluru,Cholesterol,Atorva,8,1520,304.00,1520
ORD1553,chennai,Acidity,Pan 40,10,1220,244.00,1220
ORD1777,Delhi,Diabetes,Metformin,10,1540,308.00,1540
ORD1112,Kolkata,Fever,Dolo 650,4,672,134.40,672
ORD3091,bng,Acidity,Pan 40,5,590,118.00,590
ORD2182,Kolkata,Cardiac,Ecosprin,10,850,170.00,850
ORD1094,Madras,Allergy,Cetirizine,4,644,128.80,644
ORD3093,Ahmedabad,Calcium,Shelcal,8,504,100.80,504
ORD2815,Hyderabad,Fever,Dolo 650,6,420,84.00,420
ORD2068,Mumbai,Antibiotic,Azithral 500,6,1044,208.80,1044
ORD1821,Bengaluru,Fever,Dolo 650,5,705,141.00,705
ORD2281,Madras,Acidity,Pan 40,8,1552,310.40,1552
ORD2384,mum,Acidity,Pan 40,5,940,188.00,940
ORD1700,Ahmedabad,Cardiac,Ecosprin,2,292,58.40,292
ORD2560,Jaipur,Antibiotic,Azithral 500,5,300,60.00,300
ORD2752,chennai,Acidity,Pan 40,3,414,82.80,414
ORD1525,chennai,Calcium,Shelcal,7,602,120.40,602
ORD2095,mum,Cholesterol,Atorva,9,360,72.00,360
ORD2884,Ahmedabad,Diabetes,Metformin,2,380,76.00,380
ORD1468,mum,Allergy,Cetirizine,3,399,79.80,399
ORD1477,bng,,Atorva,2,394,78.80,394
ORD2735,Ahmedabad,Fever,Dolo 650,7,1085,217.00,1085
ORD2988,chennai,Calcium,Shelcal,9,279,55.80,279
ORD1905,Madras,Fever,Dolo 650,1,128,25.60,128
ORD2408,hyd,Allergy,Cetirizine,9,747,149.40,747
ORD2412,Hyderabad,Allergy,Cetirizine,6,534,106.80,534
ORD1991,Mumbai,Fever,Dolo 650,1,97,19.40,97
ORD1681,chennai,,Shelcal,8,1552,310.40,1552
ORD3045,Bengaluru,Fever,Dolo 650,5,545,109.00,545
ORD2762,Madras,Allergy,Cetirizine,5,800,160.00,800
ORD2475,Hyderabad,Antibiotic,Azithral 500,7,168,33.60,168
ORD2377,mum,Diabetes,Metformin,10,1610,322.00,1610
ORD1179,Kolkata,Cholesterol,Atorva,10,810,162.00,810
ORD1458,hyd,Acidity,Pan 40,10,1630,326.00,1630
ORD2619,Ahmedabad,Calcium,Shelcal,6,276,55.20,276
ORD3083,Bengaluru,Fever,Dolo 650,2,184,36.80,184
ORD2449,kol,Cholesterol,Atorva,7,308,61.60,308
ORD2770,Ahmedabad,Diabetes,Metformin,4,580,116.00,580
ORD1942,Jaipur,Diabetes,Metformin,6,1140,228.00,1140
ORD2379,bng,Acidity,Pan 40,8,240,48.00,240
ORD2149,Hyderabad,Antibiotic,Azithral 500,4,716,143.20,716
ORD2026,blr,Acidity,Pan 40,8,1232,246.40,1232
ORD1031,Madras,Acidity,Pan 40,2,54,10.80,54
ORD1596,Delhi,Calcium,Shelcal,1,140,28.00,140
ORD1074,Kolkata,Cardiac,Ecosprin,1,66,13.20,66
ORD1836,Mumbai,Calcium,Shelcal,7,994,198.80,994
ORD3030,del,Antibiotic,Azithral 500,5,915,183.00,915
ORD1537,Kolkata,Calcium,Shelcal,3,324,64.80,324
ORD1268,chennai,Fever,Dolo 650,8,1000,200.00,1000
ORD3088,Mumbai,Antibiotic,Azithral 500,2,52,10.40,52
ORD2362,Bengaluru,Cardiac,Ecosprin,5,400,80.00,400
ORD2504,Mumbai,Acidity,Pan 40,8,240,48.00,240
ORD2553,chennai,Diabetes,Metformin,6,900,180.00,900
ORD3090,blr,Cholesterol,Atorva,4,680,136.00,680
ORD2692,Hyderabad,Acidity,Pan 40,10,600,120.00,600
ORD2233,Mumbai,Calcium,Shelcal,3,471,94.20,471
ORD2447,Mumbai,,Shelcal,6,354,70.80,354
ORD1918,Jaipur,Fever,Dolo 650,3,75,15.00,75
ORD1390,Mumbai,Cardiac,Ecosprin,3,573,,573
ORD2869,blr,Fever,Dolo 650,9,1125,225.00,1125
ORD2741,Jaipur,Fever,Dolo 650,7,966,193.20,966
ORD2465,blr,Diabetes,Metformin,9,1080,216.00,1080
ORD2282,kol,Calcium,Shelcal,7,448,89.60,448
ORD1699,chennai,Cholesterol,Atorva,9,936,187.20,936
ORD2606,Kolkata,Cholesterol,Atorva,1,30,6.00,30
ORD1558,hyd,Acidity,Pan 40,3,336,67.20,336
ORD1042,bng,Cardiac,Ecosprin,2,204,40.80,204
ORD2344,Bengaluru,Cholesterol,Atorva,4,132,26.40,132
ORD2726,bng,Cholesterol,Atorva,6,1158,,1158
ORD2588,Kolkata,Antibiotic,Azithral 500,5,855,171.00,855
ORD3080,del,Cholesterol,Atorva,9,1773,354.60,1773
ORD2009,Delhi,Fever,Dolo 650,6,1158,231.60,1158
ORD2519,Pune,Cholesterol,Atorva,7,161,32.20,161
ORD1714,Delhi,Cardiac,Ecosprin,4,180,36.00,180
ORD1683,Hyderabad,Antibiotic,Azithral 500,10,1520,,1520
ORD1668,Bengaluru,Cardiac,Ecosprin,9,405,81.00,405
ORD2538,Kolkata,Acidity,Pan 40,8,1008,201.60,1008
ORD1114,Pune,Cardiac,Ecosprin,9,1125,225.00,1125
ORD1021,Ahmedabad,Cardiac,Ecosprin,10,1990,398.00,1990
ORD2211,Pune,Antibiotic,Azithral 500,4,208,41.60,208
ORD1759,Kolkata,Calcium,Shelcal,6,342,68.40,342
ORD2563,Delhi,Cholesterol,Atorva,4,668,133.60,668
ORD2092,Delhi,Cholesterol,Atorva,2,260,52.00,260
ORD2067,Delhi,Fever,Dolo 650,1,133,26.60,133
ORD1275,Jaipur,Allergy,Cetirizine,3,525,105.00,525
ORD2179,chennai,Diabetes,Metformin,9,1026,205.20,1026
ORD1026,del,Allergy,Cetirizine,3,471,94.20,471
ORD3039,Bengaluru,Fever,Dolo 650,8,928,185.60,928
ORD2853,mum,Calcium,Shelcal,7,245,49.00,245
ORD2942,Hyderabad,Acidity,Pan 40,2,240,48.00,240
ORD1056,chennai,Diabetes,Metformin,10,800,160.00,800
ORD2258,kol,Cholesterol,Atorva,10,1630,326.00,1630
ORD1054,Jaipur,Cardiac,Ecosprin,1,21,4.20,21
ORD2528,kol,,Dolo 650,9,1332,266.40,1332
ORD1831,bng,Cholesterol,Atorva,5,310,62.00,310
ORD2516,Pune,Cardiac,Ecosprin,8,176,35.20,176
ORD2745,Jaipur,Antibiotic,Azithral 500,2,296,59.20,296
ORD1642,Bengaluru,Fever,Dolo 650,10,610,122.00,610
ORD1167,del,Cardiac,Ecosprin,9,981,196.20,981
ORD1102,Hyderabad,Antibiotic,Azithral 500,3,522,104.40,522
ORD1281,mum,Allergy,Cetirizine,2,206,41.20,206
ORD2190,Pune,Allergy,Cetirizine,8,1200,240.00,1200
ORD1338,Bengaluru,Diabetes,Metformin,6,468,93.60,468
ORD1884,blr,Calcium,Shelcal,8,608,121.60,608
ORD1252,del,Acidity,Pan 40,6,1122,224.40,1122
ORD1389,Pune,Cholesterol,Atorva,4,124,24.80,124
ORD1507,chennai,Cholesterol,Atorva,7,1309,261.80,1309
ORD1476,blr,Allergy,Cetirizine,9,540,108.00,540
ORD1963,kol,Allergy,Cetirizine,6,606,121.20,606
ORD1886,chennai,Allergy,Cetirizine,10,410,82.00,410
ORD1588,Bengaluru,Calcium,Shelcal,4,536,107.20,536
ORD2759,Kolkata,Cholesterol,Atorva,1,84,16.80,84
ORD1982,blr,Antibiotic,Azithral 500,9,1485,297.00,1485
ORD1896,Mumbai,Diabetes,Metformin,1,164,32.80,164
ORD2054,hyd,Calcium,Shelcal,5,185,37.00,185
